Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.889;3.889;1.514;1.260;
1;2;0.500;0.000;-3.600;;2.133;2.133;0.778;0.759;
1;3;1.000;0.000;-3.600;;0.977;0.977;0.360;0.444;
1;4;1.500;0.000;-3.600;;0.720;0.347;0.720;0.261;
1;5;2.000;0.000;-3.600;;1.420;1.210;1.420;0.110;
1;6;2.500;0.000;-3.600;;2.820;2.820;2.804;0.027;
1;7;3.000;0.000;-3.600;;3.294;3.294;3.120;0.300;
1;8;3.500;0.000;-3.600;;0.544;0.070;0.544;0.279;
1;9;4.000;0.000;-3.600;;0.889;0.498;0.889;0.197;
1;10;4.500;0.000;-3.600;;1.168;0.848;1.168;0.161;
1;11;5.000;0.000;-3.600;;1.586;1.314;1.586;0.137;
1;12;5.500;0.000;-3.600;;2.523;2.304;2.523;0.110;
1;13;6.000;0.000;-3.600;;2.948;2.624;2.948;0.183;
1;14;6.500;0.000;-3.600;;1.719;1.282;1.719;0.220;
1;15;7.000;0.000;-3.600;;1.587;1.212;1.587;0.188;
1;16;7.500;0.000;-3.600;;1.558;1.196;1.558;0.181;
1;17;8.000;0.000;-3.600;;1.639;1.266;1.639;0.187;
1;18;8.500;0.000;-3.600;;1.846;1.415;1.846;0.216;
1;19;9.000;0.000;-3.600;;3.057;2.704;3.057;0.187;
1;20;9.500;0.000;-3.600;;2.630;2.383;2.630;0.124;
1;21;10.000;0.000;-3.600;;1.753;1.464;1.753;0.146;
1;22;10.500;0.000;-3.600;;1.353;1.024;1.353;0.166;
1;23;11.000;0.000;-3.600;;1.076;0.680;1.076;0.199;
1;24;11.500;0.000;-3.600;;0.675;0.118;0.675;0.281;
1;25;12.000;0.000;-3.600;;3.292;3.292;3.146;0.302;
1;26;12.500;0.000;-3.600;;2.733;2.679;2.733;0.040;
1;27;13.000;0.000;-3.600;;1.194;0.967;1.194;0.124;
1;28;13.500;0.000;-3.600;;0.492;0.255;0.492;0.214;
1;29;14.000;0.000;-3.600;;0.851;0.851;0.304;0.352;
1;30;14.500;0.000;-3.600;;2.090;2.090;0.865;0.650;
1;31;15.000;0.000;-3.600;;3.891;3.891;1.644;1.141;
1;32;0.000;0.500;-3.600;;1.407;1.374;1.407;0.114;
1;33;0.500;0.500;-3.600;;1.180;1.180;1.084;0.251;
1;34;1.000;0.500;-3.600;;0.855;0.855;0.836;0.299;
1;35;1.500;0.500;-3.600;;0.999;0.476;0.999;0.269;
1;36;2.000;0.500;-3.600;;1.648;1.254;1.648;0.200;
1;37;2.500;0.500;-3.600;;2.255;1.890;2.255;0.184;
1;38;3.000;0.500;-3.600;;2.026;1.790;2.026;0.167;
1;39;3.500;0.500;-3.600;;0.761;0.460;0.761;0.176;
1;40;4.000;0.500;-3.600;;0.943;0.588;0.943;0.183;
1;41;4.500;0.500;-3.600;;1.218;0.882;1.218;0.168;
1;42;5.000;0.500;-3.600;;1.603;1.284;1.603;0.160;
1;43;5.500;0.500;-3.600;;2.173;1.850;2.173;0.162;
1;44;6.000;0.500;-3.600;;2.468;2.153;2.468;0.164;
1;45;6.500;0.500;-3.600;;1.759;1.416;1.759;0.177;
1;46;7.000;0.500;-3.600;;1.629;1.262;1.629;0.186;
1;47;7.500;0.500;-3.600;;1.606;1.236;1.606;0.185;
1;48;8.000;0.500;-3.600;;1.676;1.305;1.676;0.187;
1;49;8.500;0.500;-3.600;;1.853;1.501;1.853;0.179;
1;50;9.000;0.500;-3.600;;2.574;2.247;2.574;0.167;
1;51;9.500;0.500;-3.600;;2.308;1.975;2.308;0.167;
1;52;10.000;0.500;-3.600;;1.780;1.450;1.780;0.165;
1;53;10.500;0.500;-3.600;;1.418;1.073;1.418;0.173;
1;54;11.000;0.500;-3.600;;1.145;0.784;1.145;0.185;
1;55;11.500;0.500;-3.600;;0.934;0.632;0.934;0.174;
1;56;12.000;0.500;-3.600;;2.156;1.942;2.156;0.155;
1;57;12.500;0.500;-3.600;;2.102;1.809;2.102;0.157;
1;58;13.000;0.500;-3.600;;1.264;0.946;1.264;0.162;
1;59;13.500;0.500;-3.600;;0.689;0.361;0.689;0.199;
1;60;14.000;0.500;-3.600;;0.617;0.617;0.549;0.257;
1;61;14.500;0.500;-3.600;;1.085;1.085;0.869;0.250;
1;62;15.000;0.500;-3.600;;1.518;1.518;1.408;0.133;
1;63;0.000;1.000;-3.600;;0.633;0.527;0.633;0.058;
1;64;0.500;1.000;-3.600;;0.864;0.680;0.864;0.133;
1;65;1.000;1.000;-3.600;;0.888;0.711;0.888;0.089;
1;66;1.500;1.000;-3.600;;1.030;0.613;1.030;0.212;
1;67;2.000;1.000;-3.600;;1.684;0.994;1.684;0.345;
1;68;2.500;1.000;-3.600;;1.677;1.243;1.677;0.225;
1;69;3.000;1.000;-3.600;;1.518;1.248;1.518;0.148;
1;70;3.500;1.000;-3.600;;0.993;0.727;0.993;0.149;
1;71;4.000;1.000;-3.600;;1.017;0.719;1.017;0.156;
1;72;4.500;1.000;-3.600;;1.255;0.932;1.255;0.163;
1;73;5.000;1.000;-3.600;;1.619;1.285;1.619;0.167;
1;74;5.500;1.000;-3.600;;2.015;1.677;2.015;0.169;
1;75;6.000;1.000;-3.600;;2.225;1.893;2.225;0.167;
1;76;6.500;1.000;-3.600;;1.861;1.525;1.861;0.170;
1;77;7.000;1.000;-3.600;;1.702;1.352;1.702;0.176;
1;78;7.500;1.000;-3.600;;1.664;1.304;1.664;0.180;
1;79;8.000;1.000;-3.600;;1.747;1.392;1.747;0.178;
1;80;8.500;1.000;-3.600;;1.946;1.602;1.946;0.173;
1;81;9.000;1.000;-3.600;;2.345;2.006;2.345;0.170;
1;82;9.500;1.000;-3.600;;2.168;1.823;2.168;0.173;
1;83;10.000;1.000;-3.600;;1.806;1.464;1.806;0.171;
1;84;10.500;1.000;-3.600;;1.472;1.137;1.472;0.168;
1;85;11.000;1.000;-3.600;;1.247;0.937;1.247;0.159;
1;86;11.500;1.000;-3.600;;1.221;0.946;1.221;0.147;
1;87;12.000;1.000;-3.600;;1.750;1.483;1.750;0.140;
1;88;12.500;1.000;-3.600;;1.693;1.411;1.693;0.147;
1;89;13.000;1.000;-3.600;;1.157;0.872;1.157;0.149;
1;90;13.500;1.000;-3.600;;0.594;0.383;0.594;0.151;
1;91;14.000;1.000;-3.600;;0.455;0.356;0.455;0.142;
1;92;14.500;1.000;-3.600;;0.556;0.556;0.541;0.109;
1;93;15.000;1.000;-3.600;;0.653;0.593;0.653;0.067;
1;94;0.000;1.500;-3.600;;0.536;0.389;0.536;0.092;
1;95;0.500;1.500;-3.600;;0.589;0.490;0.589;0.091;
1;96;1.000;1.500;-3.600;;0.566;0.566;0.500;0.141;
1;98;2.000;1.500;-3.600;;0.539;0.498;0.539;0.056;
1;99;2.500;1.500;-3.600;;1.055;0.932;1.055;0.084;
1;100;3.000;1.500;-3.600;;1.275;1.027;1.275;0.137;
1;101;3.500;1.500;-3.600;;1.044;0.795;1.044;0.130;
1;102;4.000;1.500;-3.600;;1.087;0.808;1.087;0.143;
1;103;4.500;1.500;-3.600;;1.292;0.982;1.292;0.156;
1;104;5.000;1.500;-3.600;;1.608;1.278;1.608;0.165;
1;105;5.500;1.500;-3.600;;1.920;1.581;1.920;0.170;
1;106;6.000;1.500;-3.600;;2.064;1.724;2.064;0.171;
1;107;6.500;1.500;-3.600;;1.885;1.542;1.885;0.172;
1;108;7.000;1.500;-3.600;;1.764;1.415;1.764;0.175;
1;109;7.500;1.500;-3.600;;1.729;1.374;1.729;0.177;
1;110;8.000;1.500;-3.600;;1.810;1.457;1.810;0.177;
1;111;8.500;1.500;-3.600;;1.973;1.625;1.973;0.174;
1;112;9.000;1.500;-3.600;;2.191;1.845;2.191;0.173;
1;113;9.500;1.500;-3.600;;2.079;1.732;2.079;0.173;
1;114;10.000;1.500;-3.600;;1.804;1.464;1.804;0.170;
1;115;10.500;1.500;-3.600;;1.527;1.203;1.527;0.162;
1;116;11.000;1.500;-3.600;;1.356;1.055;1.356;0.152;
1;117;11.500;1.500;-3.600;;1.336;1.058;1.336;0.141;
1;118;12.000;1.500;-3.600;;1.551;1.285;1.551;0.135;
1;119;12.500;1.500;-3.600;;1.454;1.212;1.454;0.124;
1;120;13.000;1.500;-3.600;;1.007;0.803;1.007;0.109;
1;121;13.500;1.500;-3.600;;0.471;0.435;0.471;0.093;
1;122;14.000;1.500;-3.600;;0.310;0.310;0.296;0.082;
1;123;14.500;1.500;-3.600;;0.320;0.320;0.315;0.035;
1;124;15.000;1.500;-3.600;;0.375;0.311;0.375;0.085;
1;125;0.000;2.000;-3.600;;0.531;0.398;0.531;0.092;
1;126;0.500;2.000;-3.600;;0.433;0.415;0.433;0.062;
1;127;1.000;2.000;-3.600;;0.343;0.343;0.279;0.195;
1;128;1.500;2.000;-3.600;;0.530;0.363;0.530;0.095;
1;129;2.000;2.000;-3.600;;0.676;0.578;0.676;0.059;
1;130;2.500;2.000;-3.600;;0.983;0.857;0.983;0.066;
1;131;3.000;2.000;-3.600;;1.100;0.910;1.100;0.095;
1;132;3.500;2.000;-3.600;;1.008;0.765;1.008;0.122;
1;133;4.000;2.000;-3.600;;1.091;0.812;1.091;0.139;
1;134;4.500;2.000;-3.600;;1.305;0.995;1.305;0.155;
1;135;5.000;2.000;-3.600;;1.610;1.278;1.610;0.166;
1;136;5.500;2.000;-3.600;;1.893;1.549;1.893;0.172;
1;137;6.000;2.000;-3.600;;2.009;1.661;2.009;0.174;
1;138;6.500;2.000;-3.600;;1.887;1.536;1.887;0.176;
1;139;7.000;2.000;-3.600;;1.792;1.436;1.792;0.178;
1;140;7.500;2.000;-3.600;;1.765;1.406;1.765;0.179;
1;141;8.000;2.000;-3.600;;1.843;1.485;1.843;0.179;
1;142;8.500;2.000;-3.600;;1.983;1.629;1.983;0.177;
1;143;9.000;2.000;-3.600;;2.138;1.786;2.138;0.176;
1;144;9.500;2.000;-3.600;;2.047;1.697;2.047;0.175;
1;145;10.000;2.000;-3.600;;1.806;1.465;1.806;0.171;
1;146;10.500;2.000;-3.600;;1.556;1.231;1.556;0.162;
1;147;11.000;2.000;-3.600;;1.402;1.099;1.402;0.151;
1;148;11.500;2.000;-3.600;;1.369;1.087;1.369;0.141;
1;149;12.000;2.000;-3.600;;1.486;1.219;1.486;0.134;
1;150;12.500;2.000;-3.600;;1.374;1.146;1.374;0.114;
1;151;13.000;2.000;-3.600;;0.954;0.783;0.954;0.086;
1;152;13.500;2.000;-3.600;;0.475;0.475;0.432;0.048;
1;153;14.000;2.000;-3.600;;0.349;0.349;0.259;0.045;
1;154;14.500;2.000;-3.600;;0.266;0.266;0.259;0.006;
1;155;15.000;2.000;-3.600;;0.332;0.287;0.332;0.090;
1;156;0.000;2.500;-3.600;;0.595;0.484;0.595;0.094;
1;157;0.500;2.500;-3.600;;0.504;0.504;0.440;0.043;
1;158;1.000;2.500;-3.600;;0.423;0.423;0.289;0.091;
1;159;1.500;2.500;-3.600;;0.505;0.399;0.505;0.078;
1;160;2.000;2.500;-3.600;;0.896;0.675;0.896;0.116;
1;161;2.500;2.500;-3.600;;1.117;0.886;1.117;0.125;
1;162;3.000;2.500;-3.600;;1.064;0.841;1.064;0.122;
1;163;3.500;2.500;-3.600;;0.917;0.656;0.917;0.135;
1;164;4.000;2.500;-3.600;;1.027;0.729;1.027;0.150;
1;165;4.500;2.500;-3.600;;1.287;0.960;1.287;0.164;
1;166;5.000;2.500;-3.600;;1.633;1.287;1.633;0.173;
1;167;5.500;2.500;-3.600;;1.945;1.590;1.945;0.178;
1;168;6.000;2.500;-3.600;;2.052;1.696;2.052;0.178;
1;169;6.500;2.500;-3.600;;1.886;1.526;1.886;0.180;
1;170;7.000;2.500;-3.600;;1.780;1.413;1.780;0.184;
1;171;7.500;2.500;-3.600;;1.756;1.385;1.756;0.185;
1;172;8.000;2.500;-3.600;;1.843;1.474;1.843;0.184;
1;173;8.500;2.500;-3.600;;1.997;1.635;1.997;0.182;
1;174;9.000;2.500;-3.600;;2.182;1.822;2.182;0.180;
1;175;9.500;2.500;-3.600;;2.082;1.723;2.082;0.180;
1;176;10.000;2.500;-3.600;;1.817;1.465;1.817;0.176;
1;177;10.500;2.500;-3.600;;1.545;1.210;1.545;0.168;
1;178;11.000;2.500;-3.600;;1.377;1.066;1.377;0.157;
1;179;11.500;2.500;-3.600;;1.350;1.063;1.350;0.146;
1;180;12.000;2.500;-3.600;;1.538;1.263;1.538;0.139;
1;181;12.500;2.500;-3.600;;1.457;1.208;1.457;0.127;
1;182;13.000;2.500;-3.600;;1.017;0.809;1.017;0.110;
1;183;13.500;2.500;-3.600;;0.485;0.464;0.485;0.091;
1;184;14.000;2.500;-3.600;;0.354;0.354;0.323;0.079;
1;185;14.500;2.500;-3.600;;0.302;0.299;0.302;0.031;
1;186;15.000;2.500;-3.600;;0.419;0.327;0.419;0.087;
1;187;0.000;3.000;-3.600;;0.710;0.619;0.710;0.077;
1;188;0.500;3.000;-3.600;;0.667;0.667;0.480;0.105;
1;189;1.000;3.000;-3.600;;0.466;0.466;0.238;0.119;
1;190;1.500;3.000;-3.600;;0.420;0.345;0.420;0.131;
1;191;2.000;3.000;-3.600;;0.873;0.594;0.873;0.153;
1;192;2.500;3.000;-3.600;;1.253;0.958;1.253;0.160;
1;193;3.000;3.000;-3.600;;1.144;0.885;1.144;0.151;
1;194;3.500;3.000;-3.600;;0.743;0.461;0.743;0.160;
1;195;4.000;3.000;-3.600;;0.903;0.566;0.903;0.171;
1;196;4.500;3.000;-3.600;;1.244;0.886;1.244;0.179;
1;197;5.000;3.000;-3.600;;1.666;1.301;1.666;0.183;
1;198;5.500;3.000;-3.600;;2.080;1.711;2.080;0.185;
1;199;6.000;3.000;-3.600;;2.217;1.853;2.217;0.182;
1;200;6.500;3.000;-3.600;;1.867;1.497;1.867;0.186;
1;201;7.000;3.000;-3.600;;1.728;1.343;1.728;0.193;
1;202;7.500;3.000;-3.600;;1.707;1.314;1.707;0.196;
1;203;8.000;3.000;-3.600;;1.805;1.421;1.805;0.193;
1;204;8.500;3.000;-3.600;;2.005;1.634;2.005;0.187;
1;205;9.000;3.000;-3.600;;2.341;1.975;2.341;0.183;
1;206;9.500;3.000;-3.600;;2.182;1.811;2.182;0.186;
1;207;10.000;3.000;-3.600;;1.827;1.460;1.827;0.184;
1;208;10.500;3.000;-3.600;;1.497;1.141;1.497;0.179;
1;209;11.000;3.000;-3.600;;1.282;0.952;1.282;0.169;
1;210;11.500;3.000;-3.600;;1.259;0.966;1.259;0.156;
1;211;12.000;3.000;-3.600;;1.736;1.451;1.736;0.149;
1;212;12.500;3.000;-3.600;;1.707;1.409;1.707;0.154;
1;213;13.000;3.000;-3.600;;1.174;0.879;1.174;0.154;
1;214;13.500;3.000;-3.600;;0.606;0.409;0.606;0.154;
1;215;14.000;3.000;-3.600;;0.444;0.346;0.444;0.143;
1;216;14.500;3.000;-3.600;;0.514;0.514;0.497;0.108;
1;217;15.000;3.000;-3.600;;0.668;0.596;0.668;0.070;
1;218;0.000;3.500;-3.600;;1.110;1.110;0.915;0.134;
1;219;0.500;3.500;-3.600;;0.972;0.972;0.502;0.245;
1;220;1.000;3.500;-3.600;;0.547;0.547;0.099;0.251;
1;221;1.500;3.500;-3.600;;0.400;0.187;0.400;0.205;
1;222;2.000;3.500;-3.600;;0.878;0.526;0.878;0.184;
1;223;2.500;3.500;-3.600;;1.546;1.201;1.546;0.184;
1;224;3.000;3.500;-3.600;;1.621;1.460;1.497;0.180;
1;225;3.500;3.500;-3.600;;0.408;0.310;0.408;0.198;
1;226;4.000;3.500;-3.600;;0.784;0.375;0.784;0.205;
1;227;4.500;3.500;-3.600;;1.184;0.805;1.184;0.191;
1;228;5.000;3.500;-3.600;;1.655;1.291;1.655;0.183;
1;229;5.500;3.500;-3.600;;2.280;1.909;2.280;0.186;
1;230;6.000;3.500;-3.600;;2.542;2.178;2.542;0.187;
1;231;6.500;3.500;-3.600;;1.768;1.373;1.768;0.202;
1;232;7.000;3.500;-3.600;;1.654;1.233;1.654;0.212;
1;233;7.500;3.500;-3.600;;1.647;1.228;1.647;0.209;
1;234;8.000;3.500;-3.600;;1.741;1.326;1.741;0.210;
1;235;8.500;3.500;-3.600;;1.950;1.560;1.950;0.200;
1;236;9.000;3.500;-3.600;;2.643;2.278;2.643;0.187;
1;237;9.500;3.500;-3.600;;2.327;1.954;2.327;0.187;
1;238;10.000;3.500;-3.600;;1.798;1.429;1.798;0.185;
1;239;10.500;3.500;-3.600;;1.437;1.057;1.437;0.190;
1;240;11.000;3.500;-3.600;;1.176;0.788;1.176;0.200;
1;241;11.500;3.500;-3.600;;1.001;0.681;1.001;0.187;
1;242;12.000;3.500;-3.600;;2.201;1.956;2.201;0.167;
1;243;12.500;3.500;-3.600;;2.124;1.804;2.124;0.168;
1;244;13.000;3.500;-3.600;;1.283;0.943;1.283;0.172;
1;245;13.500;3.500;-3.600;;0.693;0.357;0.693;0.208;
1;246;14.000;3.500;-3.600;;0.567;0.567;0.509;0.266;
1;247;14.500;3.500;-3.600;;1.035;1.035;0.786;0.257;
1;248;15.000;3.500;-3.600;;1.466;1.466;1.327;0.134;
1;249;0.000;4.000;-3.600;;2.486;2.486;0.495;1.114;
1;250;0.500;4.000;-3.600;;1.581;1.581;0.291;0.645;
1;251;1.000;4.000;-3.600;;0.651;0.651;0.078;0.363;
1;252;1.500;4.000;-3.600;;0.392;0.113;0.392;0.247;
1;253;2.000;4.000;-3.600;;0.870;0.509;0.870;0.182;
1;254;2.500;4.000;-3.600;;2.066;1.825;2.066;0.123;
1;255;3.000;4.000;-3.600;;2.874;2.845;2.418;0.260;
1;256;3.500;4.000;-3.600;;0.530;0.530;0.074;0.300;
1;257;4.000;4.000;-3.600;;0.671;0.250;0.671;0.221;
1;258;4.500;4.000;-3.600;;1.076;0.712;1.076;0.189;
1;259;5.000;4.000;-3.600;;1.586;1.261;1.586;0.167;
1;260;5.500;4.000;-3.600;;2.588;2.304;2.588;0.142;
1;261;6.000;4.000;-3.600;;3.121;2.738;3.121;0.222;
1;262;6.500;4.000;-3.600;;1.672;1.160;1.672;0.258;
1;263;7.000;4.000;-3.600;;1.589;1.147;1.589;0.221;
1;264;7.500;4.000;-3.600;;1.584;1.158;1.584;0.213;
1;265;8.000;4.000;-3.600;;1.678;1.246;1.678;0.217;
1;266;8.500;4.000;-3.600;;1.905;1.422;1.905;0.245;
1;267;9.000;4.000;-3.600;;3.187;2.786;3.187;0.217;
1;268;9.500;4.000;-3.600;;2.593;2.288;2.593;0.153;
1;269;10.000;4.000;-3.600;;1.753;1.412;1.753;0.172;
1;270;10.500;4.000;-3.600;;1.366;0.987;1.366;0.190;
1;271;11.000;4.000;-3.600;;1.084;0.643;1.084;0.221;
1;272;11.500;4.000;-3.600;;0.702;0.133;0.702;0.301;
1;273;12.000;4.000;-3.600;;3.286;3.284;3.174;0.304;
1;274;12.500;4.000;-3.600;;2.701;2.608;2.701;0.055;
1;275;13.000;4.000;-3.600;;1.202;0.944;1.202;0.141;
1;276;13.500;4.000;-3.600;;0.507;0.250;0.507;0.231;
1;277;14.000;4.000;-3.600;;0.837;0.837;0.259;0.370;
1;278;14.500;4.000;-3.600;;2.073;2.073;0.771;0.674;
1;279;15.000;4.000;-3.600;;3.711;3.711;1.367;1.175;
Extremes;31;15.000;0.000;-3.600;σ_eqv,Bach,Max;3.891;3.891;1.644;1.141;
1;154;14.500;2.000;-3.600;σ_eqv,Bach,Max;0.266;0.266;0.259;0.006;
1;31;15.000;0.000;-3.600;σ_eqv,Bach,+;3.891;3.891;1.644;1.141;
1;8;3.500;0.000;-3.600;σ_eqv,Bach,+;0.544;0.070;0.544;0.279;
1;267;9.000;4.000;-3.600;σ_eqv,Bach,-;3.187;2.786;3.187;0.217;
1;256;3.500;4.000;-3.600;σ_eqv,Bach,-;0.530;0.530;0.074;0.300;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,m;3.889;3.889;1.514;1.260;
1;154;14.500;2.000;-3.600;σ_eqv,Bach,m;0.266;0.266;0.259;0.006;
Total;;;;;;3.891;3.891;3.187;1.260;
1;;;;;;0.266;0.070;0.074;0.006;
;;;;;;;;;;
;Total max/min values with corresponding values;;;;;;;;;
1;31;15.000;0.000;-3.600;σ_eqv,Bach,Max;3.891;3.891;1.644;1.141;
1;154;14.500;2.000;-3.600;σ_eqv,Bach,Max;0.266;0.266;0.259;0.006;
1;31;15.000;0.000;-3.600;σ_eqv,Bach,+;3.891;3.891;1.644;1.141;
1;8;3.500;0.000;-3.600;σ_eqv,Bach,+;0.544;0.070;0.544;0.279;
1;267;9.000;4.000;-3.600;σ_eqv,Bach,-;3.187;2.786;3.187;0.217;
1;256;3.500;4.000;-3.600;σ_eqv,Bach,-;0.530;0.530;0.074;0.300;
1;1;0.000;0.000;-3.600;σ_eqv,Bach,m;3.889;3.889;1.514;1.260;
1;154;14.500;2.000;-3.600;σ_eqv,Bach,m;0.266;0.266;0.259;0.006;
;;;;;;;;;;
Total;;;;;;3.891;3.891;3.187;1.260;
max/min;;;;;;0.266;0.070;0.074;0.006;
