Section No.;Member;Node;Location;;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];Flags;;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 200 | 1 - S235;;;;;;;;;;;
1;26;3;0.0000000000000000;L | M;;-4.40;-0.86;26.41;0.00;-15.05;-0.80;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;0.4444444444444444;E;;-4.39;-0.70;21.73;0.00;-4.33;-0.71;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;0.8888888888888888;E;;-4.40;-0.55;16.54;0.00;4.19;-0.61;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;1.3333333333333333;R | E;;-4.43;-0.39;10.86;0.00;10.30;-0.51;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;1.7777777777777777;E;;-4.45;-0.23;4.69;0.00;13.78;-0.41;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.0000000000000000;E;;-4.46;-0.15;1.41;0.00;14.46;-0.36;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.2222222222222223;E;;-4.46;-0.07;-1.98;0.00;14.40;-0.31;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.6666666666666665;R | E;;-4.44;0.09;-9.15;0.00;11.94;-0.21;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;3.1111111111111116;E;;-4.41;0.25;-16.81;0.00;6.19;-0.11;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;3.5555555555555562;E;;-4.38;0.41;-24.95;0.00;-3.08;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;L | M;;-4.39;0.57;-33.59;0.00;-16.07;0.09;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;;-5.94;0.03;27.98;-0.02;-17.48;0.04;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;0.4444444444444444;E;;-5.92;0.00;23.29;-0.02;-6.07;0.05;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;0.8888888888888888;E;;-5.94;-0.04;18.11;-0.02;3.15;0.05;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;1.3333333333333333;R | E;;-5.97;-0.07;12.42;-0.02;9.95;0.06;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;1.7777777777777777;E;;-5.99;-0.11;6.24;-0.02;14.12;0.07;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.0000000000000000;E;;-6.00;-0.12;2.97;-0.02;15.15;0.07;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.2222222222222223;E;;-6.00;-0.14;-0.43;-0.02;15.43;0.07;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.6666666666666665;R | E;;-5.99;-0.17;-7.60;-0.02;13.66;0.08;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;3.1111111111111116;E;;-5.96;-0.21;-15.26;-0.02;8.60;0.09;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;3.5555555555555562;E;;-5.92;-0.24;-23.41;-0.02;0.02;0.09;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;24;4.0000000000000000;L | M;;-5.91;-0.28;-32.05;-0.01;-12.29;0.10;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;9;0.0000000000000000;L | M;;-6.32;0.01;26.46;0.00;-16.57;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;0.4444444444444444;E;;-6.30;0.01;21.78;0.00;-5.83;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;0.8888888888888888;E;;-6.32;0.00;16.59;0.00;2.72;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;1.3333333333333333;R | E;;-6.34;0.00;10.91;0.00;8.85;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;1.7777777777777777;E;;-6.36;0.00;4.73;0.00;12.34;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.0000000000000000;E;;-6.37;0.00;1.45;0.00;13.03;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.2222222222222223;E;;-6.37;0.00;-1.94;0.00;12.98;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.6666666666666665;R | E;;-6.35;-0.01;-9.11;0.00;10.54;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;3.1111111111111116;E;;-6.33;-0.01;-16.77;0.00;4.81;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;3.5555555555555562;E;;-6.31;-0.01;-24.92;0.00;-4.44;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;27;4.0000000000000000;L | M;;-6.32;-0.01;-33.56;0.00;-17.42;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;12;0.0000000000000000;L | M;;-6.33;0.00;26.46;0.00;-16.57;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;0.4444444444444444;E;;-6.31;0.00;21.78;0.00;-5.83;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;0.8888888888888888;E;;-6.32;0.00;16.59;0.00;2.72;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;1.3333333333333333;R | E;;-6.35;0.00;10.91;0.00;8.85;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;1.7777777777777777;E;;-6.37;0.00;4.73;0.00;12.34;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.0000000000000000;E;;-6.37;0.00;1.45;0.00;13.03;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.2222222222222223;E;;-6.37;0.00;-1.95;0.00;12.98;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.6666666666666665;R | E;;-6.36;0.00;-9.11;0.00;10.54;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.1111111111111116;E;;-6.33;0.00;-16.77;0.00;4.80;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.5555555555555562;E;;-6.31;0.00;-24.92;0.00;-4.44;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;;-6.33;0.01;-33.56;0.00;-17.42;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;15;0.0000000000000000;L | M;;-6.31;-0.02;26.46;0.00;-16.56;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.4444444444444444;E;;-6.29;-0.01;21.78;0.00;-5.82;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.8888888888888888;E;;-6.30;-0.01;16.59;0.00;2.72;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.3333333333333333;R | E;;-6.32;0.00;10.91;0.00;8.86;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.7777777777777777;E;;-6.34;0.00;4.73;0.00;12.35;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.0000000000000000;E;;-6.35;0.00;1.45;0.00;13.04;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.2222222222222223;E;;-6.35;0.00;-1.95;0.00;12.99;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.6666666666666665;R | E;;-6.34;0.01;-9.11;0.00;10.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.1111111111111116;E;;-6.31;0.01;-16.77;0.00;4.81;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.5555555555555562;E;;-6.29;0.02;-24.92;0.00;-4.44;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;33;4.0000000000000000;L | M;;-6.31;0.02;-33.56;0.00;-17.42;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;18;0.0000000000000000;L | M;;-6.18;0.44;26.53;-0.01;-16.60;-0.08;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.4444444444444444;E;;-6.16;0.27;21.85;-0.01;-5.83;0.03;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.8888888888888888;E;;-6.17;0.09;16.66;0.00;2.75;0.14;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.3333333333333333;R | E;;-6.20;-0.08;10.98;0.00;8.92;0.26;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.7777777777777777;E;;-6.22;-0.25;4.81;0.00;12.44;0.37;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.0000000000000000;E;;-6.22;-0.33;1.53;0.00;13.15;0.43;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.2222222222222223;E;;-6.22;-0.42;-1.87;0.00;13.11;0.48;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.6666666666666665;R | E;;-6.21;-0.59;-9.03;0.00;10.71;0.60;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.1111111111111116;E;;-6.18;-0.76;-16.69;0.00;5.01;0.71;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.5555555555555562;E;;-6.16;-0.92;-24.84;0.00;-4.21;0.82;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;;-6.18;-1.09;-33.47;0.00;-17.15;0.93;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Extremes;26;;3.5555555555555562;E;N;-4.38;0.41;-24.95;0.00;-3.08;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.2222222222222223;E;N;-6.37;0.00;-1.95;0.00;12.98;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;L | M;V_y;-4.39;0.57;-33.59;0.00;-16.07;0.09;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;V_y;-6.18;-1.09;-33.47;0.00;-17.15;0.93;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;V_z;-5.94;0.03;27.98;-0.02;-17.48;0.04;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;L | M;V_z;-4.39;0.57;-33.59;0.00;-16.07;0.09;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;L | M;M_T;-4.40;-0.86;26.41;0.00;-15.05;-0.80;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;M_T;-5.94;0.03;27.98;-0.02;-17.48;0.04;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.2222222222222223;E;M_y;-6.00;-0.14;-0.43;-0.02;15.43;0.07;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;M_y;-5.94;0.03;27.98;-0.02;-17.48;0.04;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;M_z;-6.18;-1.09;-33.47;0.00;-17.15;0.93;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;L | M;M_z;-4.40;-0.86;26.41;0.00;-15.05;-0.80;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Total;;;;;;-4.38;0.57;27.98;0.00;15.43;0.93;
1;;;;;;-6.37;-1.09;-33.59;-0.02;-17.48;-0.80;
;;;;;;;;;;;;
2;R_M1 500/1000 | 2 - C20/25;;;;;;;;;;;
2;25;2;0.0000000000000000;L | M;;-3.43;-30.07;-20.67;63.43;-25.79;3.86;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.4444444444444444;E;;-12.28;-7.65;-2.11;35.21;-30.24;8.85;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;-13.39;-4.85;0.21;31.68;-30.80;9.47;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;-13.39;-4.85;0.21;31.68;-30.80;9.47;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.8888888888888888;E;;-19.24;3.19;7.03;14.25;-26.06;5.13;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.0000000000000000;M;;-20.91;5.49;8.98;9.26;-24.71;3.89;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.0000000000000000;M;;-20.91;5.49;8.98;9.26;-24.71;3.89;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.3333333333333333;E;;-24.49;2.83;6.50;2.48;-21.03;2.78;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.5000000000000000;M;;-26.28;1.50;5.26;-0.91;-19.19;2.23;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.5000000000000000;M;;-26.28;1.50;5.26;-0.91;-19.19;2.23;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.7777777777777777;E;;-29.03;0.24;3.23;-4.54;-17.01;2.32;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.0000000000000000;E | M;;-31.23;-0.77;1.61;-7.43;-15.28;2.40;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.0000000000000000;E | M;;-31.23;-0.77;1.61;-7.43;-15.28;2.40;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.2222222222222223;E;;-32.33;-1.47;0.35;-10.18;-13.80;2.66;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.5000000000000000;M;;-33.69;-2.34;-1.21;-13.62;-11.95;2.99;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.5000000000000000;M;;-33.69;-2.34;-1.21;-13.62;-11.95;2.99;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;2.6666666666666670;E;;-33.29;-3.10;-1.91;-16.53;-10.98;3.56;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.0000000000000000;M;;-32.50;-4.63;-3.31;-22.35;-9.06;4.72;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.0000000000000000;M;;-32.50;-4.63;-3.31;-22.35;-9.06;4.72;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.1111111111111116;E;;-30.96;-2.31;-2.21;-26.10;-8.29;5.71;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.5000000000000000;M;;-25.56;5.81;1.64;-39.25;-5.61;9.18;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.5000000000000000;M;;-25.56;5.81;1.64;-39.25;-5.61;9.18;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;3.5555555555555562;E;;-24.35;8.42;2.87;-41.81;-4.52;8.52;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;20;4.0000000000000000;L | M;;-14.69;29.23;12.69;-62.24;4.25;3.22;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;5;0.0000000000000000;L | M;;-2.43;-7.34;54.20;76.32;-22.39;1.76;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.4444444444444444;E;;-3.25;-1.56;36.76;40.57;0.06;2.36;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.5000000000000000;M;;-3.35;-0.83;34.58;36.10;2.87;2.43;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.5000000000000000;M;;-3.35;-0.83;34.58;36.10;2.87;2.43;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;0.8888888888888888;E;;-2.81;0.76;22.38;15.81;13.85;1.02;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.0000000000000000;M;;-2.65;1.21;18.90;10.02;16.99;0.61;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.0000000000000000;M;;-2.65;1.21;18.90;10.02;16.99;0.61;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.3333333333333333;E;;-0.98;0.32;12.70;4.23;21.61;0.70;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.5000000000000000;M;;-0.15;-0.13;9.61;1.34;23.92;0.74;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.5000000000000000;M;;-0.15;-0.13;9.61;1.34;23.92;0.74;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;1.7777777777777777;E;;0.80;-0.09;5.71;-1.20;25.37;0.81;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.0000000000000000;E | M;;1.56;-0.06;2.60;-3.24;26.54;0.86;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.0000000000000000;E | M;;1.56;-0.06;2.60;-3.24;26.54;0.86;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.2222222222222223;E;;1.53;-0.04;-0.21;-5.19;25.96;0.77;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.5000000000000000;M;;1.50;-0.02;-3.72;-7.63;25.23;0.66;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.5000000000000000;M;;1.50;-0.02;-3.72;-7.63;25.23;0.66;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;2.6666666666666670;E;;1.47;-0.32;-5.82;-10.43;23.61;0.68;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.0000000000000000;M;;1.40;-0.92;-10.01;-16.04;20.37;0.70;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.0000000000000000;M;;1.40;-0.92;-10.01;-16.04;20.37;0.70;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.1111111111111116;E;;1.83;-0.47;-11.59;-21.40;18.23;1.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.5000000000000000;M;;3.34;1.12;-17.11;-40.14;10.71;2.07;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.5000000000000000;M;;3.34;1.12;-17.11;-40.14;10.71;2.07;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;;3.5555555555555562;E;;3.70;1.73;-17.97;-44.18;9.13;1.98;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;27;23;4.0000000000000000;L | M;;6.57;6.66;-24.81;-76.56;-3.48;1.25;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;8;0.0000000000000000;L | M;;-2.39;-3.42;60.74;32.89;-24.41;0.73;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.4444444444444444;E;;-4.21;-0.76;43.38;19.10;4.38;1.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.5000000000000000;M;;-4.44;-0.43;41.21;17.38;7.98;1.14;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.5000000000000000;M;;-4.44;-0.43;41.21;17.38;7.98;1.14;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;0.8888888888888888;E;;-5.60;0.49;28.09;9.42;23.93;0.52;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.0000000000000000;M;;-5.94;0.75;24.35;7.15;28.49;0.34;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.0000000000000000;M;;-5.94;0.75;24.35;7.15;28.49;0.34;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.3333333333333333;E;;-6.34;0.43;16.83;4.76;35.70;0.22;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.5000000000000000;M;;-6.54;0.26;13.07;3.56;39.30;0.16;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.5000000000000000;M;;-6.54;0.26;13.07;3.56;39.30;0.16;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;1.7777777777777777;E;;-6.61;0.12;8.63;2.46;42.28;0.14;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.0000000000000000;E | M;;-6.67;0.00;5.08;1.58;44.65;0.12;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.0000000000000000;E | M;;-6.67;0.00;5.08;1.58;44.65;0.12;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.2222222222222223;E;;-6.60;-0.12;1.63;0.65;45.13;0.14;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.5000000000000000;M;;-6.50;-0.26;-2.69;-0.50;45.73;0.16;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.5000000000000000;M;;-6.50;-0.26;-2.69;-0.50;45.73;0.16;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;2.6666666666666670;E;;-6.26;-0.42;-6.14;-1.84;44.43;0.22;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.0000000000000000;M;;-5.78;-0.73;-13.04;-4.50;41.84;0.35;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.0000000000000000;M;;-5.78;-0.73;-13.04;-4.50;41.84;0.35;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.1111111111111116;E;;-5.38;-0.45;-16.73;-7.07;39.16;0.52;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5000000000000000;M;;-3.98;0.55;-29.66;-16.06;29.78;1.15;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5000000000000000;M;;-3.98;0.55;-29.66;-16.06;29.78;1.15;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;;3.5555555555555562;E;;-3.71;0.91;-32.00;-18.01;27.13;1.09;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;29;26;4.0000000000000000;L | M;;-1.50;3.74;-50.76;-33.59;5.91;0.66;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
