Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;1;0.000;0.000;-3.600;;3.898;0.526;-2.177;-0.015;0.795;-0.304;-0.760;-0.066;
1;2;0.500;0.000;-3.600;;1.944;0.013;-0.856;0.040;-0.099;0.228;-0.551;-0.072;
1;3;1.000;0.000;-3.600;;0.601;0.003;0.037;-0.002;-0.216;0.228;-0.429;-0.010;
1;4;1.500;0.000;-3.600;;-0.179;-0.069;0.546;0.082;-0.241;0.282;-0.408;-0.005;
1;5;2.000;0.000;-3.600;;-1.079;0.028;1.224;-0.036;-0.228;0.238;-0.403;0.014;
1;6;2.500;0.000;-3.600;;-2.290;0.007;2.245;-0.038;-0.079;0.101;-0.499;0.027;
1;7;3.000;0.000;-3.600;;-1.250;-0.377;1.488;0.419;0.792;-0.635;-0.597;0.175;
1;8;3.500;0.000;-3.600;;0.179;-0.006;0.274;0.022;-0.049;0.099;-0.298;-0.145;
1;9;4.000;0.000;-3.600;;-0.606;0.012;0.919;-0.013;-0.093;0.092;-0.173;0.020;
1;10;4.500;0.000;-3.600;;-0.970;-0.012;1.222;0.007;-0.084;0.084;-0.147;-0.003;
1;11;5.000;0.000;-3.600;;-1.318;0.028;1.529;-0.032;-0.063;0.063;-0.127;-0.014;
1;12;5.500;0.000;-3.600;;-1.941;0.000;2.102;-0.015;0.074;-0.060;-0.144;-0.023;
1;13;6.000;0.000;-3.600;;-1.554;-0.411;1.839;0.459;0.394;-0.329;-0.211;0.196;
1;14;6.500;0.000;-3.600;;-0.991;-0.031;1.345;0.034;-0.047;0.070;-0.106;-0.104;
1;15;7.000;0.000;-3.600;;-1.216;0.018;1.513;-0.019;-0.008;0.007;-0.029;0.006;
1;16;7.500;0.000;-3.600;;-1.274;-0.011;1.559;0.007;0.005;-0.005;-0.002;-0.003;
1;17;8.000;0.000;-3.600;;-1.282;0.020;1.576;-0.021;0.020;-0.019;0.025;0.003;
1;18;8.500;0.000;-3.600;;-1.177;-0.027;1.521;0.029;0.067;-0.088;0.090;-0.093;
1;19;9.000;0.000;-3.600;;-1.631;-0.408;1.926;0.460;-0.273;0.219;0.167;0.197;
1;20;9.500;0.000;-3.600;;-1.919;-0.005;2.103;-0.009;-0.056;0.046;0.121;-0.035;
1;21;10.000;0.000;-3.600;;-1.410;0.027;1.634;-0.030;0.065;-0.066;0.118;-0.011;
1;22;10.500;0.000;-3.600;;-1.113;-0.012;1.371;0.008;0.083;-0.082;0.138;-0.003;
1;23;11.000;0.000;-3.600;;-0.781;0.013;1.095;-0.012;0.086;-0.085;0.163;0.019;
1;24;11.500;0.000;-3.600;;-0.048;0.004;0.499;0.012;0.069;-0.119;0.283;-0.142;
1;25;12.000;0.000;-3.600;;-1.239;-0.412;1.481;0.456;-0.800;0.639;0.535;0.186;
1;26;12.500;0.000;-3.600;;-2.164;0.014;2.169;-0.046;-0.017;-0.026;0.401;0.038;
1;27;13.000;0.000;-3.600;;-0.929;0.022;1.097;-0.030;0.196;-0.198;0.312;-0.025;
1;28;13.500;0.000;-3.600;;-0.224;-0.039;0.530;0.030;0.175;-0.178;0.323;-0.002;
1;29;14.000;0.000;-3.600;;0.459;-0.002;0.055;0.008;0.175;-0.183;0.339;0.020;
1;30;14.500;0.000;-3.600;;1.802;0.006;-0.865;0.059;-0.002;-0.145;0.466;-0.088;
1;31;15.000;0.000;-3.600;;3.707;0.472;-2.124;-0.003;-0.912;0.460;0.693;-0.064;
1;32;0.000;0.500;-3.600;;1.532;0.280;-1.562;-0.256;0.267;-0.134;-0.078;0.000;
1;33;0.500;0.500;-3.600;;1.066;0.108;-0.836;-0.014;-0.117;0.300;-0.114;-0.108;
1;34;1.000;0.500;-3.600;;0.472;-0.009;-0.126;-0.016;-0.261;0.436;-0.141;0.033;
1;35;1.500;0.500;-3.600;;-0.331;0.003;0.625;-0.001;-0.244;0.419;-0.141;-0.008;
1;36;2.000;0.500;-3.600;;-1.015;-0.011;1.257;0.085;-0.309;0.417;-0.126;-0.052;
1;37;2.500;0.500;-3.600;;-1.542;-0.205;1.789;0.179;-0.161;0.235;-0.121;0.106;
1;38;3.000;0.500;-3.600;;-1.033;-0.218;1.272;0.254;0.387;-0.324;-0.055;0.111;
1;39;3.500;0.500;-3.600;;-0.278;0.011;0.535;0.025;0.033;0.041;-0.044;-0.104;
1;40;4.000;0.500;-3.600;;-0.638;-0.012;0.917;0.029;-0.045;0.100;-0.068;-0.008;
1;41;4.500;0.500;-3.600;;-0.953;-0.026;1.213;0.034;-0.072;0.105;-0.060;-0.003;
1;42;5.000;0.500;-3.600;;-1.259;-0.054;1.505;0.056;-0.039;0.065;-0.074;-0.001;
1;43;5.500;0.500;-3.600;;-1.603;-0.150;1.854;0.149;0.032;-0.011;-0.100;0.020;
1;44;6.000;0.500;-3.600;;-1.525;-0.241;1.783;0.275;0.199;-0.178;-0.028;0.132;
1;45;6.500;0.500;-3.600;;-1.145;-0.077;1.424;0.097;0.039;-0.010;0.017;-0.060;
1;46;7.000;0.500;-3.600;;-1.210;-0.040;1.506;0.051;0.020;-0.004;-0.008;-0.008;
1;47;7.500;0.500;-3.600;;-1.256;-0.032;1.549;0.040;0.012;-0.011;-0.007;-0.006;
1;48;8.000;0.500;-3.600;;-1.271;-0.042;1.566;0.053;0.007;-0.021;-0.007;-0.008;
1;49;8.500;0.500;-3.600;;-1.271;-0.088;1.552;0.106;-0.002;-0.023;-0.032;-0.051;
1;50;9.000;0.500;-3.600;;-1.607;-0.246;1.870;0.282;-0.120;0.102;0.019;0.133;
1;51;9.500;0.500;-3.600;;-1.645;-0.144;1.903;0.144;-0.002;-0.014;0.088;0.009;
1;52;10.000;0.500;-3.600;;-1.360;-0.050;1.616;0.053;0.055;-0.076;0.063;-0.003;
1;53;10.500;0.500;-3.600;;-1.101;-0.022;1.368;0.030;0.079;-0.107;0.053;-0.005;
1;54;11.000;0.500;-3.600;;-0.819;-0.008;1.101;0.025;0.044;-0.094;0.063;-0.009;
1;55;11.500;0.500;-3.600;;-0.481;0.009;0.735;0.027;-0.035;-0.034;0.042;-0.104;
1;56;12.000;0.500;-3.600;;-1.180;-0.179;1.398;0.215;-0.430;0.368;0.069;0.121;
1;57;12.500;0.500;-3.600;;-1.513;-0.172;1.715;0.159;0.010;-0.089;0.151;0.081;
1;58;13.000;0.500;-3.600;;-0.882;-0.025;1.080;0.031;0.138;-0.227;0.129;0.005;
1;59;13.500;0.500;-3.600;;-0.292;0.003;0.534;0.019;0.199;-0.308;0.106;-0.003;
1;60;14.000;0.500;-3.600;;0.328;0.001;-0.042;0.042;0.140;-0.307;0.125;-0.013;
1;61;14.500;0.500;-3.600;;0.933;0.097;-0.729;-0.024;-0.040;-0.165;0.132;-0.114;
1;62;15.000;0.500;-3.600;;1.479;0.271;-1.494;-0.273;-0.423;0.266;0.105;0.004;
1;63;0.000;1.000;-3.600;;0.566;0.015;-0.651;-0.098;0.031;-0.018;0.017;0.029;
1;64;0.500;1.000;-3.600;;0.524;0.087;-0.585;0.044;-0.128;0.226;-0.016;-0.114;
1;65;1.000;1.000;-3.600;;0.229;0.113;-0.252;-0.116;-0.232;0.331;-0.081;0.094;
1;66;1.500;1.000;-3.600;;-0.508;0.095;0.770;-0.095;-0.239;0.355;-0.150;-0.012;
1;67;2.000;1.000;-3.600;;-0.691;-0.172;1.117;0.335;-0.433;0.617;-0.088;-0.141;
1;68;2.500;1.000;-3.600;;-0.997;-0.174;1.278;0.166;-0.131;0.250;-0.025;0.150;
1;69;3.000;1.000;-3.600;;-0.887;-0.087;1.103;0.121;0.121;-0.078;0.014;0.060;
1;70;3.500;1.000;-3.600;;-0.555;-0.011;0.776;0.068;0.050;0.000;-0.010;-0.050;
1;71;4.000;1.000;-3.600;;-0.704;-0.035;0.939;0.067;-0.024;0.069;-0.042;-0.018;
1;72;4.500;1.000;-3.600;;-0.947;-0.046;1.198;0.064;-0.050;0.085;-0.057;-0.003;
1;73;5.000;1.000;-3.600;;-1.212;-0.070;1.470;0.079;-0.038;0.063;-0.059;0.009;
1;74;5.500;1.000;-3.600;;-1.442;-0.112;1.705;0.117;0.020;-0.009;-0.049;0.036;
1;75;6.000;1.000;-3.600;;-1.474;-0.130;1.738;0.159;0.101;-0.098;0.003;0.078;
1;76;6.500;1.000;-3.600;;-1.260;-0.075;1.531;0.108;0.065;-0.051;0.018;-0.021;
1;77;7.000;1.000;-3.600;;-1.241;-0.066;1.520;0.086;0.036;-0.027;0.003;-0.011;
1;78;7.500;1.000;-3.600;;-1.259;-0.060;1.544;0.076;0.016;-0.016;-0.006;-0.007;
1;79;8.000;1.000;-3.600;;-1.293;-0.069;1.575;0.088;-0.001;-0.008;-0.014;-0.009;
1;80;8.500;1.000;-3.600;;-1.354;-0.082;1.628;0.113;-0.020;0.007;-0.025;-0.015;
1;81;9.000;1.000;-3.600;;-1.565;-0.134;1.834;0.164;-0.043;0.040;-0.004;0.078;
1;82;9.500;1.000;-3.600;;-1.523;-0.110;1.792;0.118;0.020;-0.029;0.044;0.028;
1;83;10.000;1.000;-3.600;;-1.327;-0.069;1.592;0.077;0.064;-0.084;0.052;0.005;
1;84;10.500;1.000;-3.600;;-1.104;-0.042;1.362;0.058;0.066;-0.096;0.050;-0.005;
1;85;11.000;1.000;-3.600;;-0.895;-0.029;1.138;0.058;0.029;-0.067;0.037;-0.020;
1;86;11.500;1.000;-3.600;;-0.768;-0.005;0.993;0.060;-0.055;0.017;0.008;-0.054;
1;87;12.000;1.000;-3.600;;-1.089;-0.069;1.304;0.103;-0.163;0.142;-0.005;0.068;
1;88;12.500;1.000;-3.600;;-1.175;-0.093;1.380;0.090;0.014;-0.068;0.068;0.079;
1;89;13.000;1.000;-3.600;;-0.793;-0.038;0.978;0.058;0.124;-0.208;0.098;0.023;
1;90;13.500;1.000;-3.600;;-0.327;-0.008;0.481;0.053;0.148;-0.256;0.103;-0.003;
1;91;14.000;1.000;-3.600;;0.133;-0.003;-0.037;0.070;0.104;-0.224;0.092;-0.029;
1;92;14.500;1.000;-3.600;;0.472;0.032;-0.439;0.053;-0.024;-0.069;0.054;-0.093;
1;93;15.000;1.000;-3.600;;0.567;0.002;-0.626;-0.106;-0.170;0.168;0.001;0.037;
1;94;0.000;1.500;-3.600;;0.319;-0.062;-0.356;-0.040;-0.051;0.105;-0.020;0.017;
1;95;0.500;1.500;-3.600;;0.259;-0.005;-0.280;0.073;-0.100;0.183;-0.031;-0.065;
1;96;1.000;1.500;-3.600;;0.032;0.046;-0.051;0.117;-0.126;0.201;-0.043;0.064;
1;98;2.000;1.500;-3.600;;-0.306;-0.103;0.251;0.097;-0.223;0.266;-0.149;-0.037;
1;99;2.500;1.500;-3.600;;-0.720;-0.080;0.798;0.106;-0.081;0.143;-0.093;0.075;
1;100;3.000;1.500;-3.600;;-0.770;-0.014;0.960;0.053;0.024;0.029;-0.022;0.031;
1;101;3.500;1.500;-3.600;;-0.659;-0.020;0.858;0.071;0.025;0.004;-0.019;-0.005;
1;102;4.000;1.500;-3.600;;-0.761;-0.043;0.983;0.086;0.003;0.024;-0.033;-0.006;
1;103;4.500;1.500;-3.600;;-0.953;-0.046;1.195;0.072;-0.013;0.034;-0.044;0.001;
1;104;5.000;1.500;-3.600;;-1.175;-0.044;1.432;0.060;-0.009;0.023;-0.043;0.011;
1;105;5.500;1.500;-3.600;;-1.358;-0.047;1.623;0.063;0.017;-0.011;-0.032;0.021;
1;106;6.000;1.500;-3.600;;-1.397;-0.054;1.666;0.082;0.058;-0.056;-0.005;0.042;
1;107;6.500;1.500;-3.600;;-1.300;-0.055;1.573;0.086;0.054;-0.050;0.005;0.000;
1;108;7.000;1.500;-3.600;;-1.272;-0.067;1.549;0.095;0.040;-0.036;0.002;-0.004;
1;109;7.500;1.500;-3.600;;-1.278;-0.069;1.558;0.093;0.020;-0.021;-0.005;-0.004;
1;110;8.000;1.500;-3.600;;-1.318;-0.068;1.597;0.094;0.002;-0.006;-0.011;-0.003;
1;111;8.500;1.500;-3.600;;-1.383;-0.059;1.658;0.089;-0.009;0.004;-0.012;0.002;
1;112;9.000;1.500;-3.600;;-1.492;-0.060;1.764;0.089;-0.009;0.006;0.001;0.040;
1;113;9.500;1.500;-3.600;;-1.457;-0.053;1.728;0.070;0.026;-0.032;0.027;0.018;
1;114;10.000;1.500;-3.600;;-1.304;-0.049;1.569;0.064;0.044;-0.056;0.037;0.007;
1;115;10.500;1.500;-3.600;;-1.121;-0.045;1.374;0.069;0.039;-0.056;0.037;-0.003;
1;116;11.000;1.500;-3.600;;-0.967;-0.038;1.204;0.076;0.010;-0.030;0.027;-0.010;
1;117;11.500;1.500;-3.600;;-0.888;-0.012;1.109;0.057;-0.029;0.011;0.016;-0.012;
1;118;12.000;1.500;-3.600;;-1.005;0.000;1.214;0.034;-0.062;0.046;0.012;0.036;
1;119;12.500;1.500;-3.600;;-1.009;0.006;1.196;0.018;0.016;-0.045;0.046;0.036;
1;120;13.000;1.500;-3.600;;-0.730;0.009;0.882;0.028;0.067;-0.115;0.069;0.018;
1;121;13.500;1.500;-3.600;;-0.355;-0.006;0.457;0.068;0.077;-0.135;0.076;-0.001;
1;122;14.000;1.500;-3.600;;0.005;-0.028;0.041;0.104;0.044;-0.102;0.064;-0.019;
1;123;14.500;1.500;-3.600;;0.252;-0.054;-0.248;0.084;-0.014;-0.018;0.038;-0.037;
1;124;15.000;1.500;-3.600;;0.303;-0.082;-0.345;-0.045;-0.073;0.077;0.009;0.030;
1;125;0.000;2.000;-3.600;;0.271;-0.098;-0.278;-0.019;-0.101;0.138;-0.012;0.005;
1;126;0.500;2.000;-3.600;;0.195;-0.062;-0.138;0.101;-0.130;0.172;-0.053;-0.006;
1;127;1.000;2.000;-3.600;;0.014;-0.005;0.150;0.249;-0.118;0.206;-0.143;-0.015;
1;128;1.500;2.000;-3.600;;-0.420;-0.016;0.566;0.012;-0.170;0.184;-0.262;0.014;
1;129;2.000;2.000;-3.600;;-0.529;0.034;0.613;-0.075;0.010;-0.038;-0.159;0.093;
1;130;2.500;2.000;-3.600;;-0.672;0.052;0.782;-0.013;-0.056;0.045;-0.053;-0.015;
1;131;3.000;2.000;-3.600;;-0.699;0.031;0.850;0.006;-0.041;0.047;-0.019;0.008;
1;132;3.500;2.000;-3.600;;-0.652;-0.001;0.845;0.053;-0.011;0.013;-0.028;0.014;
1;133;4.000;2.000;-3.600;;-0.763;-0.031;0.984;0.076;0.013;-0.012;-0.035;0.008;
1;134;4.500;2.000;-3.600;;-0.948;-0.032;1.191;0.061;0.026;-0.025;-0.041;0.005;
1;135;5.000;2.000;-3.600;;-1.160;-0.019;1.419;0.038;0.029;-0.028;-0.038;0.004;
1;136;5.500;2.000;-3.600;;-1.327;-0.012;1.595;0.032;0.030;-0.029;-0.026;0.003;
1;137;6.000;2.000;-3.600;;-1.360;-0.015;1.633;0.044;0.028;-0.028;-0.008;0.016;
1;138;6.500;2.000;-3.600;;-1.303;-0.031;1.580;0.062;0.029;-0.029;-0.002;0.004;
1;139;7.000;2.000;-3.600;;-1.283;-0.053;1.563;0.083;0.029;-0.030;-0.001;0.003;
1;140;7.500;2.000;-3.600;;-1.288;-0.061;1.571;0.088;0.024;-0.025;-0.005;0.001;
1;141;8.000;2.000;-3.600;;-1.329;-0.054;1.611;0.082;0.018;-0.020;-0.008;0.002;
1;142;8.500;2.000;-3.600;;-1.385;-0.035;1.665;0.065;0.016;-0.018;-0.006;0.003;
1;143;9.000;2.000;-3.600;;-1.455;-0.024;1.733;0.053;0.015;-0.017;0.004;0.014;
1;144;9.500;2.000;-3.600;;-1.431;-0.022;1.704;0.042;0.016;-0.018;0.021;0.003;
1;145;10.000;2.000;-3.600;;-1.297;-0.029;1.563;0.047;0.016;-0.018;0.031;0.002;
1;146;10.500;2.000;-3.600;;-1.131;-0.036;1.384;0.062;0.011;-0.014;0.032;0.001;
1;147;11.000;2.000;-3.600;;-0.993;-0.029;1.230;0.068;0.007;-0.009;0.026;0.002;
1;148;11.500;2.000;-3.600;;-0.916;0.004;1.138;0.039;0.006;-0.008;0.021;0.003;
1;149;12.000;2.000;-3.600;;-0.968;0.033;1.176;0.002;0.006;-0.009;0.018;0.013;
1;150;12.500;2.000;-3.600;;-0.955;0.044;1.135;-0.011;0.008;-0.010;0.040;0.003;
1;151;13.000;2.000;-3.600;;-0.709;0.037;0.850;0.008;0.007;-0.009;0.060;0.002;
1;152;13.500;2.000;-3.600;;-0.370;0.008;0.459;0.061;0.001;-0.004;0.066;0.001;
1;153;14.000;2.000;-3.600;;-0.035;-0.036;0.072;0.108;-0.007;0.004;0.057;0.001;
1;154;14.500;2.000;-3.600;;0.185;-0.065;-0.184;0.074;-0.010;0.006;0.037;0.002;
1;155;15.000;2.000;-3.600;;0.250;-0.084;-0.279;-0.048;-0.005;0.002;0.016;0.019;
1;156;0.000;2.500;-3.600;;0.302;-0.070;-0.334;-0.066;-0.191;0.202;-0.025;-0.004;
1;157;0.500;2.500;-3.600;;0.220;-0.032;-0.203;0.095;-0.182;0.169;-0.044;0.033;
1;158;1.000;2.500;-3.600;;0.001;-0.003;0.069;0.146;-0.155;0.154;-0.050;0.022;
